Customer_ID,Gender,Age,Region,Product_Category,Units_Purchased,Price_Per_Unit,Purchase_Date,Total_Amount
CUST087,Female,63,East,Books,4,10.48,2024-05-28,41.92
CUST064,Male,23,West,Sports & Outdoors,3,112.43,2024-09-12,337.29
CUST025,Male,50,West,Sports & Outdoors,6,128.94,2024-07-09,773.64
CUST015,Female,59,Central,Health & Beauty,1,49.34,2024-07-21,49.34
CUST023,Male,29,West,Books,4,29.51,2024-08-19,118.04
CUST027,Female,20,West,Health & Beauty,6,79.15,2024-10-16,474.9
CUST055,Female,33,Central,Books,4,28.55,2024-01-06,114.2
CUST074,Female,63,North,Clothing,2,30.56,2024-05-13,61.12
CUST064,Male,46,South,Clothing,6,88.87,2024-03-20,533.22
CUST009,Male,46,East,Books,3,20.5,2024-10-22,61.5
CUST030,Male,51,North,Home & Kitchen,2,141.35,2024-12-13,282.7
CUST054,Male,51,West,Clothing,3,74.64,2024-01-13,223.92
CUST054,Female,57,West,Home & Kitchen,6,,2024-06-23,
CUST052,Male,28,Central,Clothing,2,96.36,2024-04-02,192.72
CUST083,Female,41,East,Sports & Outdoors,6,159.81,2024-12-16,958.86
CUST042,Male,41,South,Electronics,4,413.35,2024-05-12,1653.4
CUST051,Male,36,Central,Electronics,4,454.03,2024-01-11,1816.12
CUST022,Male,42,Central,Sports & Outdoors,1,70.88,2024-05-10,70.88
CUST020,Female,44,South,Books,4,8.88,2024-05-27,35.52
CUST062,Male,67,South,Health & Beauty,5,18.93,2024-08-28,94.65
CUST073,Male,39,West,Electronics,4,1031.43,2024-12-22,4125.72
CUST011,Female,61,Central,Clothing,5,60.53,2024-02-28,302.65
CUST008,Female,56,North,Clothing,4,70.29,2024-04-05,281.16
CUST071,Female,21,North,Electronics,5,800.84,2024-05-24,4004.2
CUST082,Female,68,Central,Electronics,5,732.35,2024-08-25,3661.75
CUST086,Female,58,South,Health & Beauty,6,60.62,2024-06-09,363.72
CUST094,Female,59,East,Electronics,4,465.94,2024-12-14,1863.76
CUST001,Male,39,South,Books,5,19.8,2024-10-21,99.0
CUST081,Female,22,South,Health & Beauty,1,55.04,2024-02-07,55.04
CUST009,Male,39,East,Sports & Outdoors,3,73.56,2024-08-07,220.68
CUST065,Female,24,South,Sports & Outdoors,6,79.23,2024-07-24,475.38
CUST009,Male,53,East,Electronics,5,809.04,2024-08-25,4045.2
CUST041,Male,61,Central,Clothing,5,36.26,2024-09-28,181.3
CUST030,Male,42,East,Sports & Outdoors,6,166.41,2024-06-27,998.46
CUST021,Female,36,North,Electronics,1,829.11,2024-01-17,829.11
CUST099,Female,34,East,Books,1,16.6,2024-03-03,16.6
CUST068,Female,64,South,Books,2,,2024-05-23,
CUST043,Female,60,Central,Clothing,6,86.76,2024-09-13,520.56
CUST061,Male,56,East,Health & Beauty,6,59.27,2024-03-25,355.62
CUST056,Female,27,South,Clothing,3,25.29,2024-09-19,75.87
CUST098,Female,39,East,Electronics,2,958.94,2024-01-06,1917.88
CUST099,Female,23,Central,Clothing,6,78.4,2024-04-27,470.4
CUST068,Male,55,Central,Health & Beauty,5,70.02,2024-04-27,350.1
CUST084,Female,60,North,Home & Kitchen,1,64.48,2024-01-08,64.48
CUST018,Female,27,Central,Clothing,5,26.9,2024-01-15,134.5
CUST022,Female,40,South,Sports & Outdoors,6,101.03,2024-01-12,606.18
CUST072,Female,37,Central,Health & Beauty,6,44.47,2024-12-07,266.82
CUST033,Female,59,Central,Home & Kitchen,6,202.21,2024-05-12,1213.26
CUST096,Female,62,South,Health & Beauty,4,35.1,2024-08-17,140.4
CUST048,Female,60,South,Health & Beauty,3,63.21,2024-07-21,189.63
