Survey_ID,Customer_ID,Store_Location,Visit_Date,Purchase_Amount,Wait_Time_Min,Staff_Rating,Product_Rating,Cleanliness_Rating,Recommend,Total_Rating
SURV0539,CUST0208,Seattle,2024-05-13,230.77,37.0,9.0,3.0,2.0,No,4.7
SURV0524,CUST0210,Los Angeles,2024-03-24,422.64,9.0,2.0,1.0,5.0,Yes,2.7
SURV0235,CUST0343,Chicago,2024-05-02,105.67,11.0,10.0,5.0,10.0,No,8.3
SURV0525,CUST0168,Seattle,2024-08-17,420.78,40.0,7.0,3.0,3.0,Yes,4.3
SURV0487,CUST0092,Seattle,2024-07-21,32.27,23.0,10.0,4.0,8.0,Yes,7.3
SURV0319,CUST0030,Seattle,2024-07-17,86.65,29.0,3.0,4.0,10.0,Yes,5.7
SURV0248,CUST0050,Atlanta,2024-04-03,483.66,37.0,5.0,5.0,4.0,Yes,4.7
SURV0497,CUST0311,Los Angeles,2024-04-26,295.99,20.0,9.0,9.0,7.0,Yes,8.3
SURV0391,CUST0080,New York,2024-03-26,495.35,18.0,5.0,3.0,9.0,Yes,5.7
SURV0223,CUST0004,Seattle,2024-07-02,55.9,17.0,9.0,3.0,4.0,Yes,5.3
SURV0083,CUST0326,Los Angeles,2024-03-21,172.14,27.0,3.0,9.0,5.0,Yes,5.7
SURV0149,CUST0137,Seattle,2024-07-22,35.22,34.0,4.0,4.0,8.0,Yes,5.3
SURV0256,CUST0345,San Francisco,2024-06-09,282.83,14.0,8.0,7.0,8.0,Yes,7.7
SURV0196,CUST0085,Dallas,2024-05-02,181.11,20.0,10.0,7.0,10.0,Yes,9.0
SURV0444,CUST0318,New York,2024-08-24,191.61,29.0,2.0,3.0,5.0,Yes,3.3
SURV0154,CUST0223,Boston,2024-05-26,249.83,22.0,9.0,7.0,3.0,Yes,6.3
SURV0281,CUST0277,Seattle,2024-06-23,446.1,40.0,7.0,8.0,2.0,Yes,5.7
SURV0450,CUST0013,Dallas,2024-03-15,50.92,19.0,10.0,5.0,3.0,No,6.0
SURV0533,CUST0195,New York,2024-03-11,498.35,4.0,9.0,8.0,6.0,Yes,7.7
SURV0132,CUST0082,Atlanta,2024-06-04,118.83,10.0,8.0,3.0,5.0,Yes,5.3
SURV0146,CUST0059,Seattle,2024-03-09,28.07,37.0,2.0,5.0,7.0,Yes,4.7
SURV0177,CUST0251,San Francisco,2024-08-15,348.56,4.0,5.0,,4.0,Yes,6.0
SURV0210,CUST0265,Los Angeles,2024-08-02,88.8,10.0,4.0,8.0,4.0,Yes,5.3
SURV0250,CUST0221,Chicago,2024-05-20,427.97,30.0,1.0,3.0,1.0,Yes,1.7
SURV0286,CUST0209,Seattle,2024-05-09,27.61,7.0,2.0,6.0,7.0,Yes,5.0
SURV0166,CUST0260,Miami,2024-06-26,419.3,31.0,2.0,5.0,1.0,Yes,2.7
SURV0011,CUST0045,Los Angeles,2024-05-08,20.09,21.0,8.0,9.0,9.0,Yes,8.7
SURV0110,CUST0235,Houston,2024-03-25,47.72,43.0,3.0,2.0,4.0,Yes,3.0
SURV0211,CUST0232,Miami,2024-04-05,278.88,5.0,10.0,1.0,7.0,Yes,6.0
SURV0251,CUST0182,San Francisco,2024-08-27,154.28,35.0,2.0,10.0,7.0,No,6.3
SURV0493,CUST0223,Boston,2024-08-21,145.92,18.0,8.0,9.0,8.0,No,8.3
SURV0071,CUST0326,Atlanta,2024-06-08,388.4,22.0,3.0,7.0,3.0,Yes,4.3
SURV0007,CUST0072,San Francisco,2024-08-21,38.46,17.0,6.0,5.0,4.0,No,5.0
SURV0091,CUST0328,Boston,2024-06-09,68.6,36.0,8.0,10.0,9.0,Yes,9.0
SURV0376,CUST0155,New York,2024-05-12,166.3,40.0,1.0,2.0,3.0,Yes,2.0
SURV0537,CUST0292,San Francisco,2024-08-19,426.33,34.0,6.0,3.0,1.0,Yes,3.3
SURV0077,CUST0344,Chicago,2024-04-27,387.92,12.0,1.0,1.0,5.0,Yes,2.3
SURV0084,CUST0088,New York,2024-06-05,41.14,9.0,8.0,4.0,3.0,No,5.0
SURV0159,CUST0257,Houston,2024-07-07,126.44,30.0,5.0,3.0,10.0,Yes,6.0
SURV0249,CUST0338,Dallas,2024-03-06,482.17,14.0,5.0,2.0,2.0,Yes,3.0
SURV0323,CUST0036,Dallas,2024-07-09,333.5,2.0,6.0,9.0,7.0,Yes,7.3
SURV0417,CUST0219,Houston,2024-05-08,153.67,40.0,9.0,2.0,6.0,No,5.7
SURV0105,CUST0109,Dallas,2024-06-23,454.71,26.0,10.0,4.0,1.0,Yes,5.0
SURV0353,CUST0154,Miami,2024-05-11,332.76,36.0,6.0,7.0,9.0,Yes,7.3
SURV0031,CUST0004,Miami,2024-04-26,307.7,17.0,4.0,7.0,10.0,Yes,7.0
SURV0056,CUST0317,New York,2024-06-14,461.72,40.0,5.0,4.0,6.0,No,5.0
SURV0461,CUST0241,Chicago,2024-08-03,67.59,24.0,10.0,7.0,3.0,Yes,6.7
SURV0365,CUST0260,New York,2024-04-21,471.32,41.0,2.0,3.0,5.0,Yes,3.3
SURV0385,CUST0054,Chicago,2024-08-08,370.18,25.0,5.0,6.0,5.0,Yes,5.3
SURV0074,CUST0190,Seattle,2024-06-11,409.58,1.0,3.0,10.0,7.0,No,6.7
SURV0141,CUST0271,San Francisco,2024-06-15,481.6,40.0,7.0,2.0,4.0,Yes,4.3
SURV0040,CUST0048,Los Angeles,2024-06-15,225.67,24.0,6.0,10.0,8.0,Yes,8.0
SURV0322,CUST0096,Boston,2024-06-11,360.15,45.0,1.0,1.0,1.0,No,1.0
SURV0073,CUST0084,Seattle,2024-06-01,12.71,6.0,2.0,10.0,3.0,No,5.0
SURV0003,CUST0013,San Francisco,2024-07-16,368.68,44.0,10.0,10.0,2.0,No,7.3
SURV0205,CUST0205,Miami,2024-03-09,,13.0,6.0,8.0,10.0,Yes,8.0
SURV0468,CUST0115,Houston,2024-06-04,435.61,8.0,7.0,5.0,9.0,Yes,7.0
SURV0378,CUST0335,Los Angeles,2024-04-17,21.4,21.0,4.0,2.0,2.0,No,2.7
SURV0232,CUST0264,Dallas,2024-03-14,256.29,5.0,3.0,2.0,3.0,No,2.7
SURV0133,CUST0349,San Francisco,2024-06-12,68.73,3.0,1.0,8.0,10.0,No,6.3
SURV0082,CUST0312,Dallas,2024-08-01,315.42,45.0,8.0,8.0,1.0,Yes,5.7
SURV0312,CUST0030,Chicago,2024-08-10,48.44,36.0,1.0,4.0,2.0,No,2.3
SURV0239,CUST0068,San Francisco,2024-06-03,326.28,35.0,5.0,3.0,6.0,Yes,4.7
SURV0329,CUST0062,Miami,2024-07-16,215.6,43.0,2.0,8.0,6.0,Yes,5.3
SURV0119,CUST0220,Miami,2024-08-08,447.35,10.0,10.0,5.0,4.0,Yes,6.3
SURV0531,CUST0216,Dallas,2024-06-23,408.32,22.0,8.0,4.0,2.0,No,4.7
SURV0479,CUST0261,Miami,2024-06-20,484.96,21.0,10.0,10.0,1.0,Yes,7.0
SURV0297,CUST0233,Houston,2024-03-07,387.3,38.0,10.0,2.0,1.0,Yes,4.3
SURV0204,CUST0160,Miami,2024-05-06,450.29,36.0,5.0,10.0,5.0,No,6.7
SURV0085,CUST0274,Chicago,2024-06-06,162.38,26.0,5.0,1.0,1.0,Yes,2.3
SURV0322,CUST0096,Boston,2024-06-11,360.15,45.0,1.0,1.0,1.0,No,1.0
SURV0079,CUST0350,Miami,2024-07-18,185.65,34.0,9.0,8.0,10.0,No,9.0
SURV0412,CUST0327,Dallas,2024-08-02,475.53,20.0,2.0,3.0,3.0,No,2.7
SURV0403,CUST0027,Los Angeles,2024-04-13,257.57,33.0,9.0,4.0,9.0,Yes,7.3
SURV0266,CUST0098,Miami,2024-03-25,372.98,39.0,9.0,5.0,2.0,No,5.3
