Order_ID,Customer_ID,Product,Category,Order_Quantity,Price,Return_Status,Shipping_Method,Order_date,Total_Price
ORD00001,CUST0029,Tablet,Electronics,3,568.05,Not Returned,Standard,2024-02-22,1704.15
ORD00002,CUST0007,Smart Home Hub,Smart Home,5,,Not Returned,Express,2024-03-11,
ORD00003,CUST0071,Laptop Pro,Electronics,2,893.72,Not Returned,Standard,2024-02-08,1787.44
ORD00004,CUST0063,Webcam HD,Accessories,4,80.78,Returned,Express,2024-05-04,323.12
ORD00005,CUST0058,Fitness Tracker,Wearables,1,59.26,Returned,Next Day,2024-03-12,59.26
ORD00006,CUST0036,Portable Monitor,Computer,5,314.29,Not Returned,Next Day,2024-12-05,1571.45
ORD00007,CUST0027,Fitness Tracker,Wearables,2,125.82,Returned,Free Shipping,2024-09-13,251.64
ORD00008,CUST0140,Webcam HD,Accessories,2,81.54,Not Returned,International,2024-07-20,163.08
ORD00009,CUST0023,Wireless Headphones,Electronics,3,87.46,Not Returned,Standard,2024-03-19,262.38
ORD00010,CUST0109,Fitness Tracker,Wearables,2,99.22,Not Returned,International,2024-07-14,198.44
ORD00011,CUST0009,USB-C Hub,Accessories,1,51.22,Not Returned,Express,2024-03-16,51.22
ORD00012,CUST0008,Bluetooth Speaker,Audio,1,43.95,Not Returned,Free Shipping,2024-11-18,43.95
ORD00013,CUST0024,Smart Watch,Electronics,2,221.89,Not Returned,Next Day,2024-12-21,443.78
ORD00014,CUST0056,Fitness Tracker,Wearables,3,,Not Returned,Next Day,2024-03-18,
ORD00015,CUST0060,Smart Home Hub,Smart Home,5,95.46,Returned,Free Shipping,2024-03-16,477.3
ORD00016,CUST0130,External SSD,Storage,5,243.32,Not Returned,Standard,2024-05-05,1216.6
ORD00017,CUST0007,Wireless Charger,Accessories,3,85.65,Not Returned,International,2024-03-11,256.95
ORD00018,CUST0144,Laptop Pro,Electronics,4,1344.12,Not Returned,Express,2024-08-20,5376.48
ORD00019,CUST0051,External SSD,Storage,1,244.24,Not Returned,International,2024-01-28,244.24
ORD00020,CUST0140,Bluetooth Speaker,Audio,4,84.82,Not Returned,Next Day,2024-06-01,339.28
ORD00021,CUST0108,Webcam HD,Accessories,3,35.2,Not Returned,Free Shipping,2024-08-05,105.6
ORD00022,CUST0057,Portable Monitor,Computer,4,288.71,Not Returned,Next Day,2024-04-27,1154.84
ORD00023,CUST0115,Wireless Headphones,Electronics,3,251.73,Not Returned,Next Day,2024-07-18,755.19
ORD00024,CUST0072,Wireless Charger,Accessories,5,79.25,Not Returned,Express,2024-09-21,396.25
ORD00025,CUST0002,Smart Watch,Electronics,5,288.58,Returned,Standard,2024-08-14,1442.9
ORD00026,CUST0041,Fitness Tracker,Wearables,4,172.47,Not Returned,Standard,2024-11-16,689.88
ORD00027,CUST0109,Wireless Charger,Accessories,4,80.94,Not Returned,Express,2024-07-23,323.76
ORD00028,CUST0088,Tablet,Electronics,1,,Not Returned,Free Shipping,2024-08-16,
ORD00029,CUST0072,External SSD,Storage,5,94.49,Not Returned,International,2024-03-03,472.45
ORD00030,CUST0040,External SSD,Storage,1,190.25,Not Returned,Free Shipping,2024-10-01,190.25
ORD00031,CUST0056,Noise Cancelling Earbuds,Audio,4,115.94,Returned,International,2024-04-10,463.76
