Reading_ID,Household_ID,Region,Reading_Date,Electricity_kWh,Gas_Consumption_m3,Water_Liters,Temperature_C,Total_Energy_Units
READ0172,HH0210,South,2024-12-27,609.85,282.41,1811.2,26.9,3455.0
READ0207,HH0140,East,2024-01-25,682.73,194.05,1852.2,-0.5,2585.56
READ0134,HH0120,West,2024-12-23,615.1,22.5,1263.45,26.5,729.59
READ0205,HH0258,East,2024-03-21,718.24,36.27,1020.98,28.2,956.45
READ0484,HH0090,Central,2024-11-05,283.77,76.09,1887.67,4.7,1027.85
READ0481,HH0281,West,2024-09-23,315.94,226.52,224.1,7.3,2631.44
READ0518,HH0007,Coastal,2024-09-05,228.55,26.51,922.49,0.7,462.12
READ0233,HH0062,West,2024-09-05,677.83,19.5,838.53,34.6,747.85
READ0448,HH0142,Rural,2024-11-28,509.92,243.07,317.13,12.3,2960.49
READ0463,HH0060,East,2024-04-09,175.1,238.3,1128.49,2.9,2643.36
READ0218,HH0087,Rural,2024-11-20,654.94,256.41,1657.62,34.0,3217.91
READ0065,HH0032,South,2024-02-06,593.01,204.01,1017.54,30.4,2617.53
READ0049,HH0009,Coastal,2024-01-09,691.9,173.94,440.64,-4.2,2380.33
READ0064,HH0197,Urban,2024-11-21,537.11,65.7,1916.97,28.9,1121.45
READ0019,HH0140,East,2024-12-24,380.4,94.18,1323.83,8.2,1294.53
READ0211,HH0185,Central,2024-07-20,649.46,277.54,392.54,-2.3,3434.13
READ0358,HH0289,North,2024-04-18,322.43,170.54,1684.55,29.6,2050.3
READ0062,HH0045,Rural,2024-09-15,205.32,135.53,1286.45,17.2,1588.61
READ0103,HH0034,East,2024-04-07,478.24,198.35,1344.4,31.0,2466.61
READ0359,HH0115,Coastal,2024-12-20,548.59,177.75,1492.51,18.7,2306.74
READ0416,HH0273,Central,2024-09-18,739.19,230.94,1923.36,34.6,3018.15
READ0384,HH0250,East,2024-10-04,120.1,234.04,922.09,20.0,2554.42
READ0351,HH0191,East,2024-03-08,164.54,278.56,1053.77,33.2,3057.57
READ0401,HH0244,Urban,2024-09-25,633.6,235.2,1789.54,1.3,2978.27
READ0177,HH0125,South,2024-12-25,144.08,213.12,1491.29,21.9,2354.52
READ0313,HH0257,North,2024-05-23,245.82,126.8,1210.11,1.3,1529.27
READ0550,HH0043,Rural,2024-10-03,757.44,164.72,670.92,5.4,2336.18
READ0514,HH0119,South,2024-06-25,129.86,82.64,884.2,-1.1,972.49
READ0473,HH0035,Coastal,2024-06-17,721.43,283.5,1856.18,1.0,3555.75
READ0422,HH0269,Urban,2024-06-02,699.18,195.64,800.96,28.1,2614.36
READ0522,HH0187,West,2024-06-09,146.29,,1704.84,-3.5,823.39
READ0342,HH0139,West,2024-01-06,226.29,66.6,1179.12,7.3,881.51
READ0554,HH0166,North,2024-01-13,155.69,101.25,1836.0,5.7,1189.51
READ0444,HH0146,North,2024-06-18,476.14,176.52,1257.31,-1.1,2235.63
READ0430,HH0118,Central,2024-11-20,406.98,69.46,1426.12,3.5,1056.34
READ0070,HH0148,Urban,2024-02-12,121.08,197.38,1735.38,34.5,2171.09
READ0535,HH0245,Central,2024-12-10,547.66,130.49,662.37,-1.9,1808.94
READ0372,HH0010,Rural,2024-01-27,337.0,111.81,1069.08,7.0,1444.67
READ0039,HH0199,Urban,2024-03-06,238.96,184.1,596.91,-1.9,2124.81
READ0423,HH0269,Coastal,2024-03-21,134.06,262.73,1838.78,4.8,2867.75
READ0339,HH0002,North,2024-01-22,261.23,172.12,235.48,-0.2,2016.48
READ0456,HH0167,Rural,2024-08-26,67.33,231.88,738.42,17.0,2489.34
READ0361,HH0220,East,2024-06-16,487.35,222.44,1988.61,-3.6,2727.49
READ0389,HH0156,South,2024-01-05,646.98,38.75,212.45,18.9,924.67
READ0286,HH0196,West,2024-05-22,697.16,221.66,1129.57,1.8,2886.29
READ0213,HH0248,Urban,2024-03-23,278.01,86.34,213.66,-0.5,1129.19
READ0189,HH0136,Coastal,2024-10-05,257.9,77.43,665.68,30.6,1020.0
READ0438,HH0098,Urban,2024-09-19,241.13,91.7,1453.89,20.0,1157.21
READ0198,HH0251,East,2024-02-03,793.2,256.59,402.77,1.2,3329.16
READ0180,HH0068,East,2024-01-16,491.88,45.72,1714.39,28.9,875.28
READ0449,HH0110,Rural,2024-07-26,405.97,241.94,628.3,32.6,2865.77
READ0388,HH0117,East,2024-10-07,739.12,231.31,941.19,22.4,3020.99
READ0077,HH0026,South,2024-02-19,755.23,81.67,1958.68,19.1,1463.68
READ0132,HH0240,West,2024-08-04,503.46,143.81,1272.5,32.2,1914.05
READ0092,HH0253,South,2024-05-26,128.93,276.74,1622.96,3.7,3010.54
READ0382,HH0046,East,2024-12-01,626.27,150.01,921.46,13.0,2077.04
READ0539,HH0022,Central,2024-07-07,,34.35,375.45,14.3,633.18
READ0117,HH0037,Central,2024-10-12,188.39,272.06,406.94,19.3,3007.75
READ0446,HH0257,North,2024-03-28,610.2,65.31,1112.92,17.0,1175.03
READ0031,HH0183,Coastal,2024-08-26,579.78,162.12,622.96,3.5,2166.71
READ0417,HH0244,South,2024-09-12,78.22,106.85,492.52,5.8,1184.99
READ0101,HH0033,Coastal,2024-09-04,442.81,209.99,1315.93,22.0,2560.46
READ0254,HH0176,Coastal,2024-04-24,663.8,219.34,1472.31,26.3,2835.58
READ0140,HH0044,West,2024-03-20,491.49,13.09,1091.39,24.9,531.73
READ0270,HH0217,Central,2024-09-13,531.24,299.71,987.14,15.5,3572.93
READ0121,HH0165,North,2024-03-07,102.78,126.27,256.97,16.8,1408.32
READ0346,HH0141,Central,2024-02-18,190.19,241.64,817.68,10.8,2690.19
READ0228,HH0100,Rural,2024-08-20,354.06,37.36,1933.72,29.0,677.46
READ0295,HH0047,East,2024-11-04,650.13,74.02,1010.15,32.7,1298.32
READ0495,HH0086,Central,2024-10-27,73.2,48.95,1395.93,31.4,573.93
READ0476,HH0200,North,2024-09-02,154.0,244.01,968.27,-1.1,2686.27
READ0517,HH0101,Coastal,2024-08-10,164.21,14.29,1216.17,28.2,282.63
READ0520,HH0025,East,2024-06-07,725.02,68.36,619.02,17.5,1298.42
READ0112,HH0206,West,2024-01-05,355.68,35.49,1362.53,4.6,658.55
READ0127,HH0267,Central,2024-04-03,747.07,217.71,1621.32,25.6,2885.23
READ0126,HH0201,North,2024-07-16,705.71,210.89,1538.27,6.0,2780.45
